Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes,Flow Packets,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets,Bwd Packets,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Family
10.8.8.178-198.7.63.141-45057-53-17,10.8.8.178,45057,198.7.63.141,53,17,03/06/2015 04:59:30 PM,130569,1,1,45,197,45,45,45,0,197,197,197,0,1853.4261578169,15.3175715522,130569,0,130569,130569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7.6587857761,7.6587857761,45,197,95.6666666667,87.7572409168,7701.3333333333,0,0,0,0,0,0,0,0,1,143.5,45,197,0,0,0,0,0,0,0,22,0,98,0,0,0,8,0,0,0,0,0,0,0,0,VPN,Chat
10.8.8.178-198.7.63.141-42257-53-17,10.8.8.178,42257,198.7.63.141,53,17,03/06/2015 04:54:48 PM,128437,1,1,37,225,37,37,37,0,225,225,225,0,2039.9106176569,15.571836776,128437,0,128437,128437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7.785918388,7.785918388,37,225,99.6666666667,108.5418506077,11781.3333333333,0,0,0,0,0,0,0,0,1,149.5,37,225,0,0,0,0,0,0,0,18,0,112,0,0,0,8,0,0,0,0,0,0,0,0,VPN,Chat
10.8.8.178-198.7.63.141-37757-53-17,10.8.8.178,37757,198.7.63.141,53,17,03/06/2015 05:05:00 PM,142479,1,1,37,213,37,37,37,0,213,213,213,0,1754.6445441083,14.0371563529,142479,0,142479,142479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7.0185781764,7.0185781764,37,213,95.6666666667,101.6136473774,10325.3333333333,0,0,0,0,0,0,0,0,1,143.5,37,213,0,0,0,0,0,0,0,18,0,106,0,0,0,8,0,0,0,0,0,0,0,0,VPN,Chat
10.8.8.178-198.7.63.141-49089-53-17,10.8.8.178,49089,198.7.63.141,53,17,03/06/2015 05:04:43 PM,129630,1,1,37,213,37,37,37,0,213,213,213,0,1928.5659183831,15.4285273471,129630,0,129630,129630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7.7142636735,7.7142636735,37,213,95.6666666667,101.6136473774,10325.3333333333,0,0,0,0,0,0,0,0,1,143.5,37,213,0,0,0,0,0,0,0,18,0,106,0,0,0,8,0,0,0,0,0,0,0,0,VPN,Chat
10.8.8.178-198.7.63.141-10783-53-17,10.8.8.178,10783,198.7.63.141,53,17,03/06/2015 04:58:00 PM,131534,1,1,37,225,37,37,37,0,225,225,225,0,1991.8804263537,15.2051940943,131534,0,131534,131534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7.6025970472,7.6025970472,37,225,99.6666666667,108.5418506077,11781.3333333333,0,0,0,0,0,0,0,0,1,149.5,37,225,0,0,0,0,0,0,0,18,0,112,0,0,0,8,0,0,0,0,0,0,0,0,VPN,Chat
10.8.8.178-198.7.63.141-65478-53-17,10.8.8.178,65478,198.7.63.141,53,17,03/06/2015 04:58:19 PM,128132,1,1,45,209,45,45,45,0,209,209,209,0,1982.3307214435,15.6089033185,128132,0,128132,128132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7.8044516592,7.8044516592,45,209,99.6666666667,94.6854441471,8965.3333333333,0,0,0,0,0,0,0,0,1,149.5,45,209,0,0,0,0,0,0,0,22,0,104,0,0,0,8,0,0,0,0,0,0,0,0,VPN,Chat
10.8.8.178-198.7.63.141-28895-53-17,10.8.8.178,28895,198.7.63.141,53,17,03/06/2015 04:54:37 PM,130343,1,1,47,234,47,47,47,0,234,234,234,0,2155.8503333512,15.3441304865,130343,0,130343,130343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7.6720652432,7.6720652432,47,234,109.3333333333,107.9645003385,11656.3333333333,0,0,0,0,0,0,0,0,1,164,47,234,0,0,0,0,0,0,0,23,0,117,0,0,0,8,0,0,0,0,0,0,0,0,VPN,Chat
10.8.8.178-198.7.63.141-23169-53-17,10.8.8.178,23169,198.7.63.141,53,17,03/06/2015 05:00:10 PM,130640,1,1,37,213,37,37,37,0,213,213,213,0,1913.6558481323,15.3092467851,130640,0,130640,130640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7.6546233925,7.6546233925,37,213,95.6666666667,101.6136473774,10325.3333333333,0,0,0,0,0,0,0,0,1,143.5,37,213,0,0,0,0,0,0,0,18,0,106,0,0,0,8,0,0,0,0,0,0,0,0,VPN,Chat
10.8.8.178-198.7.63.141-25300-53-17,10.8.8.178,25300,198.7.63.141,53,17,03/06/2015 04:54:33 PM,129452,1,1,47,234,47,47,47,0,234,234,234,0,2170.6887494979,15.4497419893,129452,0,129452,129452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7.7248709947,7.7248709947,47,234,109.3333333333,107.9645003385,11656.3333333333,0,0,0,0,0,0,0,0,1,164,47,234,0,0,0,0,0,0,0,23,0,117,0,0,0,8,0,0,0,0,0,0,0,0,VPN,Chat
10.8.8.178-198.7.63.141-55432-53-17,10.8.8.178,55432,198.7.63.141,53,17,03/06/2015 04:54:38 PM,130661,1,1,47,234,47,47,47,0,234,234,234,0,2150.6034700485,15.3067862637,130661,0,130661,130661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7.6533931318,7.6533931318,47,234,109.3333333333,107.9645003385,11656.3333333333,0,0,0,0,0,0,0,0,1,164,47,234,0,0,0,0,0,0,0,23,0,117,0,0,0,8,0,0,0,0,0,0,0,0,VPN,Chat
10.8.8.178-198.7.63.141-26945-53-17,10.8.8.178,26945,198.7.63.141,53,17,03/06/2015 04:55:06 PM,140642,1,1,43,231,43,43,43,0,231,231,231,0,1948.2089276319,14.2205031214,140642,0,140642,140642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7.1102515607,7.1102515607,43,231,105.6666666667,108.5418506077,11781.3333333333,0,0,0,0,0,0,0,0,1,158.5,43,231,0,0,0,0,0,0,0,21,0,115,0,0,0,8,0,0,0,0,0,0,0,0,VPN,Chat
10.8.8.178-198.7.63.141-45200-53-17,10.8.8.178,45200,198.7.63.141,53,17,03/06/2015 05:05:57 PM,128768,1,1,37,213,37,37,37,0,213,213,213,0,1941.4761431412,15.5318091451,128768,0,128768,128768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7.7659045726,7.7659045726,37,213,95.6666666667,101.6136473774,10325.3333333333,0,0,0,0,0,0,0,0,1,143.5,37,213,0,0,0,0,0,0,0,18,0,106,0,0,0,8,0,0,0,0,0,0,0,0,VPN,Chat
10.8.8.178-198.7.63.141-64226-53-17,10.8.8.178,64226,198.7.63.141,53,17,03/06/2015 05:05:28 PM,130286,1,1,37,213,37,37,37,0,213,213,213,0,1918.8554411065,15.3508435289,130286,0,130286,130286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7.6754217644,7.6754217644,37,213,95.6666666667,101.6136473774,10325.3333333333,0,0,0,0,0,0,0,0,1,143.5,37,213,0,0,0,0,0,0,0,18,0,106,0,0,0,8,0,0,0,0,0,0,0,0,VPN,Chat
10.8.8.178-198.7.63.141-28435-53-17,10.8.8.178,28435,198.7.63.141,53,17,03/06/2015 04:53:44 PM,130339,1,1,45,209,45,45,45,0,209,209,209,0,1948.7643759734,15.3446013856,130339,0,130339,130339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7.6723006928,7.6723006928,45,209,99.6666666667,94.6854441471,8965.3333333333,0,0,0,0,0,0,0,0,1,149.5,45,209,0,0,0,0,0,0,0,22,0,104,0,0,0,8,0,0,0,0,0,0,0,0,VPN,Chat
10.8.8.178-198.7.63.141-34187-53-17,10.8.8.178,34187,198.7.63.141,53,17,03/06/2015 04:56:54 PM,129852,1,1,45,197,45,45,45,0,197,197,197,0,1863.6601669593,15.4021501402,129852,0,129852,129852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7.7010750701,7.7010750701,45,197,95.6666666667,87.7572409168,7701.3333333333,0,0,0,0,0,0,0,0,1,143.5,45,197,0,0,0,0,0,0,0,22,0,98,0,0,0,8,0,0,0,0,0,0,0,0,VPN,Chat
10.8.8.178-198.7.63.141-30807-53-17,10.8.8.178,30807,198.7.63.141,53,17,03/06/2015 04:53:46 PM,132521,1,1,37,213,37,37,37,0,213,213,213,0,1886.4934614137,15.0919476913,132521,0,132521,132521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7.5459738457,7.5459738457,37,213,95.6666666667,101.6136473774,10325.3333333333,0,0,0,0,0,0,0,0,1,143.5,37,213,0,0,0,0,0,0,0,18,0,106,0,0,0,8,0,0,0,0,0,0,0,0,VPN,Chat
10.8.8.178-198.7.63.141-5178-53-17,10.8.8.178,5178,198.7.63.141,53,17,03/06/2015 04:54:37 PM,132551,1,1,47,234,47,47,47,0,234,234,234,0,2119.9387405602,15.0885319613,132551,0,132551,132551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7.5442659806,7.5442659806,47,234,109.3333333333,107.9645003385,11656.3333333333,0,0,0,0,0,0,0,0,1,164,47,234,0,0,0,0,0,0,0,23,0,117,0,0,0,8,0,0,0,0,0,0,0,0,VPN,Chat
10.8.8.178-198.7.63.141-59434-53-17,10.8.8.178,59434,198.7.63.141,53,17,03/06/2015 04:54:01 PM,130917,1,1,37,213,37,37,37,0,213,213,213,0,1909.6068501417,15.2768548011,130917,0,130917,130917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7.6384274006,7.6384274006,37,213,95.6666666667,101.6136473774,10325.3333333333,0,0,0,0,0,0,0,0,1,143.5,37,213,0,0,0,0,0,0,0,18,0,106,0,0,0,8,0,0,0,0,0,0,0,0,VPN,Chat
10.8.8.178-198.7.63.141-49921-53-17,10.8.8.178,49921,198.7.63.141,53,17,03/06/2015 05:07:36 PM,141530,1,1,39,230,39,39,39,0,230,230,230,0,1900.6571045008,14.1312795874,141530,0,141530,141530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7.0656397937,7.0656397937,39,230,102.6666666667,110.2739014152,12160.3333333333,0,0,0,0,0,0,0,0,1,154,39,230,0,0,0,0,0,0,0,19,0,115,0,0,0,8,0,0,0,0,0,0,0,0,VPN,Chat
10.8.8.178-198.7.63.141-20918-53-17,10.8.8.178,20918,198.7.63.141,53,17,03/06/2015 04:52:29 PM,132610,1,1,33,204,33,33,33,0,204,204,204,0,1787.1955357816,15.0818188674,132610,0,132610,132610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7.5409094337,7.5409094337,33,204,90,98.7268960314,9747,0,0,0,0,0,0,0,0,1,135,33,204,0,0,0,0,0,0,0,16,0,102,0,0,0,8,0,0,0,0,0,0,0,0,VPN,Chat
10.8.8.178-198.7.63.141-29805-53-17,10.8.8.178,29805,198.7.63.141,53,17,03/06/2015 04:55:14 PM,143095,1,1,37,226,37,37,37,0,226,226,226,0,1837.9398301828,13.9767287466,143095,0,143095,143095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,6.9883643733,6.9883643733,37,226,100,109.1192008768,11907,0,0,0,0,0,0,0,0,1,150,37,226,0,0,0,0,0,0,0,18,0,113,0,0,0,8,0,0,0,0,0,0,0,0,VPN,Chat
10.8.8.178-198.7.63.141-2161-53-17,10.8.8.178,2161,198.7.63.141,53,17,03/06/2015 04:55:12 PM,129410,1,1,47,246,47,47,47,0,246,246,246,0,2264.1217834789,15.4547562012,129410,0,129410,129410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7.7273781006,7.7273781006,47,246,113.3333333333,114.8927035687,13200.3333333333,0,0,0,0,0,0,0,0,1,170,47,246,0,0,0,0,0,0,0,23,0,123,0,0,0,8,0,0,0,0,0,0,0,0,VPN,Chat
10.8.8.178-198.7.63.141-63303-53-17,10.8.8.178,63303,198.7.63.141,53,17,03/06/2015 05:06:54 PM,130213,1,1,45,209,45,45,45,0,209,209,209,0,1950.6500887008,15.3594495173,130213,0,130213,130213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7.6797247587,7.6797247587,45,209,99.6666666667,94.6854441471,8965.3333333333,0,0,0,0,0,0,0,0,1,149.5,45,209,0,0,0,0,0,0,0,22,0,104,0,0,0,8,0,0,0,0,0,0,0,0,VPN,Chat
10.8.8.178-198.7.63.141-10965-53-17,10.8.8.178,10965,198.7.63.141,53,17,03/06/2015 04:54:12 PM,129368,1,1,37,225,37,37,37,0,225,225,225,0,2025.2303506277,15.4597736689,129368,0,129368,129368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7.7298868345,7.7298868345,37,225,99.6666666667,108.5418506077,11781.3333333333,0,0,0,0,0,0,0,0,1,149.5,37,225,0,0,0,0,0,0,0,18,0,112,0,0,0,8,0,0,0,0,0,0,0,0,VPN,Chat
10.8.8.178-198.7.63.141-29387-53-17,10.8.8.178,29387,198.7.63.141,53,17,03/06/2015 04:56:06 PM,129317,1,1,37,213,37,37,37,0,213,213,213,0,1933.2338362319,15.4658706899,129317,0,129317,129317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7.7329353449,7.7329353449,37,213,95.6666666667,101.6136473774,10325.3333333333,0,0,0,0,0,0,0,0,1,143.5,37,213,0,0,0,0,0,0,0,18,0,106,0,0,0,8,0,0,0,0,0,0,0,0,VPN,Chat
10.8.8.178-198.7.63.141-25414-53-17,10.8.8.178,25414,198.7.63.141,53,17,03/06/2015 05:07:03 PM,134535,1,1,37,213,37,37,37,0,213,213,213,0,1858.2524993496,14.8660199948,134535,0,134535,134535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7.4330099974,7.4330099974,37,213,95.6666666667,101.6136473774,10325.3333333333,0,0,0,0,0,0,0,0,1,143.5,37,213,0,0,0,0,0,0,0,18,0,106,0,0,0,8,0,0,0,0,0,0,0,0,VPN,Chat
10.8.8.178-198.7.63.141-44773-53-17,10.8.8.178,44773,198.7.63.141,53,17,03/06/2015 04:55:15 PM,130755,1,1,47,246,47,47,47,0,246,246,246,0,2240.832090551,15.2957821881,130755,0,130755,130755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7.647891094,7.647891094,47,246,113.3333333333,114.8927035687,13200.3333333333,0,0,0,0,0,0,0,0,1,170,47,246,0,0,0,0,0,0,0,23,0,123,0,0,0,8,0,0,0,0,0,0,0,0,VPN,Chat
10.8.8.178-198.7.63.141-64636-53-17,10.8.8.178,64636,198.7.63.141,53,17,03/06/2015 04:54:36 PM,130150,1,1,47,246,47,47,47,0,246,246,246,0,2251.2485593546,15.3668843642,130150,0,130150,130150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7.6834421821,7.6834421821,47,246,113.3333333333,114.8927035687,13200.3333333333,0,0,0,0,0,0,0,0,1,170,47,246,0,0,0,0,0,0,0,23,0,123,0,0,0,8,0,0,0,0,0,0,0,0,VPN,Chat
10.8.8.178-198.7.63.141-52982-53-17,10.8.8.178,52982,198.7.63.141,53,17,03/06/2015 05:03:18 PM,133802,1,1,45,197,45,45,45,0,197,197,197,0,1808.6426211865,14.9474596792,133802,0,133802,133802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7.4737298396,7.4737298396,45,197,95.6666666667,87.7572409168,7701.3333333333,0,0,0,0,0,0,0,0,1,143.5,45,197,0,0,0,0,0,0,0,22,0,98,0,0,0,8,0,0,0,0,0,0,0,0,VPN,Chat
10.8.8.178-198.7.63.141-28714-53-17,10.8.8.178,28714,198.7.63.141,53,17,03/06/2015 05:05:49 PM,129784,1,1,45,209,45,45,45,0,209,209,209,0,1957.0979473587,15.4102200579,129784,0,129784,129784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7.705110029,7.705110029,45,209,99.6666666667,94.6854441471,8965.3333333333,0,0,0,0,0,0,0,0,1,149.5,45,209,0,0,0,0,0,0,0,22,0,104,0,0,0,8,0,0,0,0,0,0,0,0,VPN,Chat
10.8.8.178-198.7.63.141-54940-53-17,10.8.8.178,54940,198.7.63.141,53,17,03/06/2015 04:53:36 PM,128955,1,1,39,218,39,39,39,0,218,218,218,0,1992.9432747858,15.5092861851,128955,0,128955,128955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7.7546430926,7.7546430926,39,218,98.6666666667,103.3456981849,10680.3333333333,0,0,0,0,0,0,0,0,1,148,39,218,0,0,0,0,0,0,0,19,0,109,0,0,0,8,0,0,0,0,0,0,0,0,VPN,Chat
10.8.8.178-198.7.63.141-57459-53-17,10.8.8.178,57459,198.7.63.141,53,17,03/06/2015 04:54:27 PM,128517,1,1,37,225,37,37,37,0,225,225,225,0,2038.6408023841,15.5621435296,128517,0,128517,128517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7.7810717648,7.7810717648,37,225,99.6666666667,108.5418506077,11781.3333333333,0,0,0,0,0,0,0,0,1,149.5,37,225,0,0,0,0,0,0,0,18,0,112,0,0,0,8,0,0,0,0,0,0,0,0,VPN,Chat
10.8.8.178-198.7.63.141-51370-53-17,10.8.8.178,51370,198.7.63.141,53,17,03/06/2015 05:03:30 PM,130652,1,1,33,204,33,33,33,0,204,204,204,0,1813.9791201053,15.307840676,130652,0,130652,130652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7.653920338,7.653920338,33,204,90,98.7268960314,9747,0,0,0,0,0,0,0,0,1,135,33,204,0,0,0,0,0,0,0,16,0,102,0,0,0,8,0,0,0,0,0,0,0,0,VPN,Chat
10.8.8.178-78.46.223.24-48459-53-17,10.8.8.178,48459,78.46.223.24,53,17,03/06/2015 05:02:16 PM,153247,1,1,33,206,33,33,33,0,206,206,206,0,1559.5737600084,13.0508264436,153247,0,153247,153247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,6.5254132218,6.5254132218,33,206,90.6666666667,99.8815965698,9976.3333333333,0,0,0,0,0,0,0,0,1,136,33,206,0,0,0,0,0,0,0,16,0,103,0,0,0,8,0,0,0,0,0,0,0,0,VPN,Chat
10.8.8.178-198.7.63.141-36563-53-17,10.8.8.178,36563,198.7.63.141,53,17,03/06/2015 05:04:00 PM,133869,1,1,37,213,37,37,37,0,213,213,213,0,1867.4973294788,14.9399786358,133869,0,133869,133869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7.4699893179,7.4699893179,37,213,95.6666666667,101.6136473774,10325.3333333333,0,0,0,0,0,0,0,0,1,143.5,37,213,0,0,0,0,0,0,0,18,0,106,0,0,0,8,0,0,0,0,0,0,0,0,VPN,Chat
10.8.8.178-198.7.63.141-32689-53-17,10.8.8.178,32689,198.7.63.141,53,17,03/06/2015 05:07:16 PM,134690,1,1,37,213,37,37,37,0,213,213,213,0,1856.1140396466,14.8489123172,134690,0,134690,134690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7.4244561586,7.4244561586,37,213,95.6666666667,101.6136473774,10325.3333333333,0,0,0,0,0,0,0,0,1,143.5,37,213,0,0,0,0,0,0,0,18,0,106,0,0,0,8,0,0,0,0,0,0,0,0,VPN,Chat
10.8.8.178-198.7.63.141-46369-53-17,10.8.8.178,46369,198.7.63.141,53,17,03/06/2015 04:52:06 PM,129617,1,1,37,225,37,37,37,0,225,225,225,0,2021.3397933913,15.4300747587,129617,0,129617,129617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7.7150373794,7.7150373794,37,225,99.6666666667,108.5418506077,11781.3333333333,0,0,0,0,0,0,0,0,1,149.5,37,225,0,0,0,0,0,0,0,18,0,112,0,0,0,8,0,0,0,0,0,0,0,0,VPN,Chat
